MATCH_ID,date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,stadium,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners,home_goals_2h,away_goals_2h,home_goals_u15,away_goals_u15
19900202_IRN_POL,1990-02-02,IRN,POL,0.0,2.0,Friendly,Tehran,Iran,False,,0.0,0.83,0.92,3,3,6,6,50.8,49.2,2,1,0,0,5,2,,,,
19900202_USA_CRC,1990-02-02,USA,CRC,0.0,2.0,Miami Cup,Miami,United States,False,,0.0,0.94,1.47,3,5,4,12,53.1,46.9,2,3,0,0,5,6,,,,
19900204_ALG_ROU,1990-02-04,ALG,ROU,0.0,0.0,Friendly,Algiers,Algeria,False,,19.71225631667994,0.05,0.97,2,3,4,5,45.7,54.3,1,2,0,0,5,6,,,,
19900204_CRC_URU,1990-02-04,CRC,URU,0.0,2.0,Miami Cup,Miami,United States,True,,0.0,0.73,1.01,3,3,8,6,50.7,49.3,3,0,0,0,6,4,,,,
19900204_IRN_POL,1990-02-04,IRN,POL,0.0,1.0,Friendly,Tehran,Iran,False,,-20.0,1.26,0.63,4,1,7,3,49.2,50.8,1,0,0,0,5,1,,,,
19900204_KOR_NOR,1990-02-04,KOR,NOR,2.0,3.0,Malta International Tournament,Attard,Malta,True,,0.0,2.35,1.11,8,3,17,6,42.8,57.2,1,0,0,0,9,5,,,,
19900204_USA_COL,1990-02-04,USA,COL,1.0,1.0,Miami Cup,Miami,United States,False,,0.0,1.24,1.53,3,5,8,9,55.9,44.1,3,3,0,0,4,6,,,,
19900205_THA_IDN,1990-02-05,THA,IDN,1.0,1.0,King's Cup,Bangkok,Thailand,False,,32.73630679352209,0.64,0.05,2,1,4,1,45.1,54.9,0,1,0,0,3,2,,,,
19900205_UAE_DEN,1990-02-05,UAE,DEN,1.0,1.0,Friendly,Dubai,United Arab Emirates,False,,0.5750112778453058,1.52,0.76,4,1,9,3,50.5,49.5,0,2,0,0,5,2,,,,
19900207_MLT_NOR,1990-02-07,MLT,NOR,1.0,1.0,Malta International Tournament,Attard,Malta,False,,-16.0,1.25,0.61,3,3,9,6,43.2,56.8,2,1,0,1,0,2,,,,
19900210_MLT_KOR,1990-02-10,MLT,KOR,1.0,2.0,Malta International Tournament,Attard,Malta,False,,16.73630679352209,1.52,1.53,4,5,7,10,53.4,46.6,1,2,0,1,5,6,,,,
19900210_UGA_MRI,1990-02-10,UGA,MRI,4.0,1.0,Friendly,Kampala,Uganda,False,,0.0,1.46,1.06,5,4,10,7,53.4,46.6,1,0,0,0,6,4,,,,
19900211_KUW_POL,1990-02-11,KUW,POL,1.0,1.0,Friendly,Cairo,Egypt,True,,-39.41670679510048,1.77,0.93,6,5,14,10,47.2,52.8,1,1,0,0,5,8,,,,
19900211_TOG_CMR,1990-02-11,TOG,CMR,1.0,1.0,Friendly,Lomé,Togo,False,,9.712256316679941,1.09,1.59,2,5,5,12,47.0,53.0,0,2,0,0,4,2,,,,
19900212_UAE_FIN,1990-02-12,UAE,FIN,1.0,1.0,Friendly,Dubai,United Arab Emirates,False,,0.5584611379977105,0.99,0.17,2,1,5,2,42.9,57.1,0,1,0,0,1,2,,,,
19900213_BER_USA,1990-02-13,BER,USA,0.0,1.0,Friendly,Hamilton,Bermuda,False,,16.0,0.45,0.46,0,3,0,7,41.9,58.1,0,0,0,0,0,1,,,,
19900214_EGY_DEN,1990-02-14,EGY,DEN,0.0,0.0,Friendly,Cairo,Egypt,False,,-0.5915614176929012,0.43,1.16,1,4,2,11,58.2,41.8,0,1,0,0,4,8,,,,
19900214_UAE_SWE,1990-02-14,UAE,SWE,2.0,1.0,Friendly,Dubai,United Arab Emirates,False,,0.5423873481986448,2.36,2.37,6,7,13,16,52.5,47.5,2,1,0,1,13,9,,,,
19900215_IRQ_KOR,1990-02-15,IRQ,KOR,0.0,0.0,Friendly,Baghdad,Iraq,False,,-0.7701398146427891,0.63,0.85,2,4,6,10,54.0,46.0,0,1,0,0,1,8,,,,
19900215_KUW_FIN,1990-02-15,KUW,FIN,0.0,1.0,Friendly,Kuwait City,Kuwait,False,,-18.878130312820076,1.01,0.05,3,1,6,3,53.8,46.2,2,1,0,0,7,0,,,,
19900217_UAE_SWE,1990-02-17,UAE,SWE,0.0,2.0,Friendly,Dubai,United Arab Emirates,False,,20.511165047997565,0.89,1.08,2,4,5,9,56.1,43.9,5,0,0,0,3,7,,,,
19900218_EGY_KOR,1990-02-18,EGY,KOR,0.0,0.0,Friendly,Cairo,Egypt,False,,-1.3059582332625723,0.73,1.31,2,5,4,11,45.0,55.0,1,0,0,0,1,4,,,,
19900220_COL_RUS,1990-02-20,COL,RUS,0.0,0.0,Marlboro Cup,Los Angeles,United States,True,,-16.0,0.95,1.24,4,2,10,4,51.0,49.0,1,4,0,0,8,4,,,,
19900221_BEL_SWE,1990-02-21,BEL,SWE,0.0,0.0,Friendly,Brussels,Belgium,False,,-10.60528504452077,0.7,0.36,1,1,0,2,49.7,50.3,0,2,0,0,3,3,,,,
19900221_ESP_Czechoslovakia,1990-02-21,ESP,Czechoslovakia,1.0,0.0,Friendly,Alicante,Spain,False,,0.0,0.48,0.87,1,2,2,3,47.3,52.7,4,0,0,0,1,3,,,,
19900221_GAM_GNB,1990-02-21,GAM,GNB,0.0,1.0,Friendly,Banjul,Gambia,False,,0.0,1.31,1.56,5,4,11,9,53.7,46.3,0,0,0,0,9,4,,,,
19900221_KUW_BHR,1990-02-21,KUW,BHR,1.0,0.0,Gulf Cup,Kuwait City,Kuwait,False,,-28.31923435209933,0.77,0.77,1,4,1,9,35.9,64.1,2,2,0,0,2,6,,,,
19900221_MAR_CIV,1990-02-21,MAR,CIV,2.0,1.0,Friendly,Rabat,Morocco,False,,0.0,2.04,0.63,7,1,15,2,47.3,52.7,2,1,0,0,10,1,,,,
19900221_NED_ITA,1990-02-21,NED,ITA,0.0,0.0,Friendly,Rotterdam,Netherlands,False,,0.0,1.05,0.05,2,1,3,3,41.6,58.4,0,1,0,0,3,2,,,,
19900222_CRC_RUS,1990-02-22,CRC,RUS,1.0,2.0,Marlboro Cup,Los Angeles,United States,True,,0.7363067935220897,0.41,0.6,2,2,5,5,51.2,48.8,3,3,0,0,3,2,,,,
19900222_OMA_UAE,1990-02-22,OMA,UAE,1.0,1.0,Gulf Cup,Kuwait City,Kuwait,True,,0.06289769632212483,1.85,1.1,6,3,12,6,51.6,48.4,4,1,0,0,6,7,,,,
19900223_QAT_BHR,1990-02-23,QAT,BHR,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,,17.301268437929593,1.15,0.27,4,0,9,2,56.5,43.5,2,0,0,0,12,2,,,,
19900224_KUW_OMA,1990-02-24,KUW,OMA,1.0,1.0,Gulf Cup,Kuwait City,Kuwait,False,,-11.01506936824262,0.19,0.32,1,1,1,2,51.6,48.4,2,2,0,0,4,1,,,,
19900224_USA_RUS,1990-02-24,USA,RUS,1.0,3.0,Friendly,Palo Alto,United States,False,,-20.83740959069587,1.36,1.62,4,6,10,14,50.4,49.6,0,0,0,0,7,7,,,,
19900227_QAT_UAE,1990-02-27,QAT,UAE,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,,-0.7360937763858146,0.71,1.14,4,2,10,4,57.2,42.8,2,2,0,0,4,4,,,,
19900228_EGY_AUT,1990-02-28,EGY,AUT,0.0,0.0,Friendly,Cairo,Egypt,False,,-0.5203964655518121,0.14,0.88,0,1,0,2,46.3,53.7,0,0,0,1,1,3,,,,
19900228_FRA_GER,1990-02-28,FRA,GER,2.0,1.0,Friendly,Montpellier,France,False,,19.71225631667994,1.41,0.89,4,2,7,2,55.8,44.2,1,0,0,0,1,4,,,,
19900301_BHR_OMA,1990-03-01,BHR,OMA,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,,-15.995184162812848,0.08,0.7,0,1,0,0,46.5,53.5,1,1,0,0,3,1,,,,
19900302_ALG_NGA,1990-03-02,ALG,NGA,5.0,1.0,African Cup of Nations,Algiers,Algeria,False,,9.145499975810026,1.47,1.08,5,3,12,8,55.5,44.5,2,0,0,0,6,3,,,,
19900302_CIV_EGY,1990-03-02,CIV,EGY,3.0,1.0,African Cup of Nations,Algiers,Algeria,True,,-9.494581737547378,1.25,1.4,7,4,15,9,45.0,55.0,1,1,0,0,11,8,,,,
19900303_CMR_ZAM,1990-03-03,CMR,ZAM,0.0,1.0,African Cup of Nations,Annaba,Algeria,True,,-9.43278790047998,0.72,0.71,3,1,7,5,42.5,57.5,0,1,0,0,3,1,,,,
19900303_SEN_KEN,1990-03-03,SEN,KEN,0.0,0.0,African Cup of Nations,Annaba,Algeria,True,,9.26369320647791,0.89,0.86,5,2,10,3,48.1,51.9,2,0,0,0,8,3,,,,
19900304_OMA_QAT,1990-03-04,OMA,QAT,2.0,4.0,Gulf Cup,Kuwait City,Kuwait,True,,-0.4838782275214726,1.88,2.52,7,7,17,16,48.3,51.7,3,2,0,0,7,10,,,,
19900305_ALG_CIV,1990-03-05,ALG,CIV,3.0,0.0,African Cup of Nations,Algiers,Algeria,False,,28.287298548675835,1.2,1.15,4,4,9,11,48.2,51.8,5,4,0,1,5,15,,,,
19900305_BHR_UAE,1990-03-05,BHR,UAE,1.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,,-15.675188554787383,1.71,1.17,5,4,11,10,47.1,52.9,1,1,0,0,5,4,,,,
19900305_NGA_EGY,1990-03-05,NGA,EGY,1.0,0.0,African Cup of Nations,Algiers,Algeria,True,,11.363619689586812,1.62,0.6,6,3,13,7,45.9,54.1,4,1,0,0,7,8,,,,
19900306_CMR_SEN,1990-03-06,CMR,SEN,0.0,2.0,African Cup of Nations,Annaba,Algeria,True,,-34.5719908935414,0.52,1.31,2,3,5,7,37.6,62.4,0,2,0,0,4,3,,,,
19900306_MOZ_ANG,1990-03-06,MOZ,ANG,2.0,1.0,Friendly,Maputo,Mozambique,False,,0.0,0.92,1.52,5,5,10,10,45.7,54.3,1,0,0,0,4,7,,,,
19900306_ZAM_KEN,1990-03-06,ZAM,KEN,1.0,0.0,African Cup of Nations,Annaba,Algeria,True,,14.402896199539327,1.15,1.19,4,5,9,11,52.9,47.1,1,2,0,0,13,8,,,,
19900307_KUW_QAT,1990-03-07,KUW,QAT,2.0,0.0,Gulf Cup,Kuwait City,Kuwait,False,,-25.726393103928558,0.99,0.44,3,3,7,7,43.6,56.4,4,1,1,0,0,3,,,,
19900307_LES_ZIM,1990-03-07,LES,ZIM,1.0,4.0,Friendly,Maputo,Mozambique,True,,0.0,1.36,1.62,4,6,9,12,51.3,48.7,1,1,0,0,3,6,,,,
19900308_ALG_EGY,1990-03-08,ALG,EGY,2.0,0.0,African Cup of Nations,Algiers,Algeria,False,,81.84404752718115,0.9,1.31,3,3,6,5,59.3,40.7,2,0,0,0,4,2,,,,
19900308_ANG_ZIM,1990-03-08,ANG,ZIM,0.0,2.0,Friendly,Maputo,Mozambique,True,,-20.0,0.81,1.38,4,6,9,12,49.2,50.8,0,0,0,0,3,6,,,,
19900308_NGA_CIV,1990-03-08,NGA,CIV,1.0,0.0,African Cup of Nations,Algiers,Algeria,True,,18.161000798173518,0.72,1.44,2,5,2,11,48.9,51.1,0,1,0,0,1,10,,,,
19900309_CMR_KEN,1990-03-09,CMR,KEN,2.0,0.0,African Cup of Nations,Annaba,Algeria,True,,-25.23734639117356,0.62,0.51,2,3,3,6,47.7,52.3,2,1,0,0,4,7,,,,
19900309_KUW_UAE,1990-03-09,KUW,UAE,6.0,1.0,Gulf Cup,Kuwait City,Kuwait,False,,23.486989723681063,2.26,0.07,8,2,16,4,53.2,46.8,2,0,0,0,12,5,,,,
19900309_ZAM_SEN,1990-03-09,ZAM,SEN,0.0,0.0,African Cup of Nations,Annaba,Algeria,True,,6.916185375834175,0.05,0.71,0,2,0,4,48.0,52.0,1,0,0,0,2,4,,,,
19900310_ANG_LES,1990-03-10,ANG,LES,3.0,1.0,Friendly,Maputo,Mozambique,True,,-9.424988722154694,1.85,0.58,4,2,10,5,55.4,44.6,1,1,0,0,7,4,,,,
19900310_MOZ_ZIM,1990-03-10,MOZ,ZIM,3.0,1.0,Friendly,Maputo,Mozambique,False,,-9.424988722154694,1.87,1.75,6,5,14,11,52.7,47.3,2,2,1,0,3,6,,,,
19900310_USA_FIN,1990-03-10,USA,FIN,2.0,1.0,Friendly,Tampa,United States,False,,-24.4140290773164,1.23,1.18,5,4,12,10,57.0,43.0,1,0,0,0,8,9,,,,
19900311_MOZ_LES,1990-03-11,MOZ,LES,3.0,0.0,Friendly,Maputo,Mozambique,False,,40.542412917722686,0.85,1.0,4,6,9,12,43.2,56.8,1,1,0,0,6,4,,,,
19900312_ALG_SEN,1990-03-12,ALG,SEN,2.0,1.0,African Cup of Nations,Algiers,Algeria,False,,37.41868228463136,1.16,0.75,4,4,11,10,53.4,46.6,0,1,0,0,8,5,,,,
19900312_NGA_ZAM,1990-03-12,NGA,ZAM,2.0,0.0,African Cup of Nations,Annaba,Algeria,True,,-5.521995542765126,1.49,0.95,3,5,8,11,50.0,50.0,3,2,0,0,5,3,,,,
19900315_SEN_ZAM,1990-03-15,SEN,ZAM,0.0,1.0,African Cup of Nations,Algiers,Algeria,True,,-4.3084272013040845,2.23,1.79,6,6,10,13,44.2,55.8,1,3,0,0,8,11,,,,
19900316_ALG_NGA,1990-03-16,ALG,NGA,1.0,0.0,African Cup of Nations,Algiers,Algeria,False,,34.690574450205304,1.38,0.98,4,3,11,6,59.9,40.1,1,3,0,0,10,6,,,,
19900316_JAM_BRB,1990-03-16,JAM,BRB,0.0,1.0,Friendly,Kingston,Jamaica,False,,0.0,1.08,1.34,3,3,7,7,46.3,53.7,2,0,0,0,1,6,,,,
19900318_JAM_BRB,1990-03-18,JAM,BRB,1.0,0.0,Friendly,Kingston,Jamaica,False,,-20.0,1.79,1.04,6,3,13,6,50.1,49.9,2,1,0,0,9,1,,,,
19900320_HUN_USA,1990-03-20,HUN,USA,2.0,0.0,Friendly,Budapest,Hungary,False,,4.239239512093263,0.66,1.72,3,6,8,15,54.2,45.8,0,2,0,0,7,11,,,,
19900320_MEX_URU,1990-03-20,MEX,URU,2.0,1.0,Friendly,Los Angeles,United States,True,,-22.0,0.98,0.63,5,4,13,6,57.0,43.0,1,0,0,0,5,5,,,,
19900321_Basque-Country_ROU,1990-03-21,Basque Country,ROU,2.0,2.0,Friendly,Bilbao,Spain,False,,-0.5667563408699152,2.05,1.27,9,4,18,8,52.7,47.3,1,0,0,0,7,4,,,,
19900324_SKN_ATG,1990-03-24,SKN,ATG,3.0,1.0,Friendly,Basseterre,Saint Kitts and Nevis,False,,0.0,0.57,0.82,3,1,5,3,44.6,55.4,2,1,0,0,4,6,,,,
19900324_Saint-Martin_VGB,1990-03-24,Saint Martin,VGB,3.0,0.0,CFU Caribbean Cup qualification,Marigot,Saint Martin,False,,0.0,1.78,0.47,5,2,13,4,52.7,47.3,1,0,0,0,8,7,,,,
19900324_Sint-Maarten_CAY,1990-03-24,Sint Maarten,CAY,1.0,1.0,CFU Caribbean Cup qualification,Marigot,Saint Martin,True,,0.0,0.05,0.95,1,2,3,5,41.7,58.3,2,1,0,0,4,2,,,,
19900327_NIR_NOR,1990-03-27,NIR,NOR,2.0,3.0,Friendly,Belfast,Northern Ireland,False,,-15.26369320647791,1.58,1.98,6,7,11,15,49.6,50.4,0,1,0,0,5,9,,,,
19900328_EGY_ROU,1990-03-28,EGY,ROU,1.0,3.0,Friendly,Cairo,Egypt,False,,-45.26901299063206,0.06,1.26,1,3,5,6,46.7,53.3,0,1,0,0,1,6,,,,
19900328_ENG_BRA,1990-03-28,ENG,BRA,1.0,0.0,Friendly,London,England,False,,0.0,0.73,1.85,3,4,7,10,50.0,50.0,2,0,0,0,2,3,,,,
19900328_ESP_AUT,1990-03-28,ESP,AUT,2.0,3.0,Friendly,Málaga,Spain,False,,10.01497820309919,0.83,0.47,3,3,8,7,50.4,49.6,1,1,0,0,7,3,,,,
19900328_GRE_ISR,1990-03-28,GRE,ISR,2.0,1.0,Friendly,Athens,Greece,False,,10.0,1.39,1.09,6,2,13,5,54.2,45.8,0,2,0,0,9,3,,,,
19900328_German-DR_USA,1990-03-28,German DR,USA,3.0,2.0,Friendly,Berlin,German DR,False,,14.39669220174892,0.36,2.29,3,5,8,13,51.4,48.6,1,1,0,0,4,3,,,,
19900328_HUN_FRA,1990-03-28,HUN,FRA,1.0,3.0,Friendly,Budapest,Hungary,False,,-19.267509042420215,1.58,2.09,4,7,8,13,44.3,55.7,0,2,0,0,4,6,,,,
19900328_IRL_WAL,1990-03-28,IRL,WAL,1.0,0.0,Friendly,Dublin,Republic of Ireland,False,,0.0,1.26,0.72,4,3,8,5,52.5,47.5,0,1,0,0,2,6,,,,
19900328_LUX_ISL,1990-03-28,LUX,ISL,1.0,2.0,Friendly,Esch-sur-Alzette,Luxembourg,False,,0.0,0.8,1.55,3,5,7,11,51.2,48.8,1,0,0,0,4,4,,,,
19900328_POL_Yugoslavia,1990-03-28,POL,Yugoslavia,0.0,0.0,Friendly,Łódź,Poland,False,,18.295327172229918,1.43,0.14,5,0,11,1,53.4,46.6,0,0,0,0,8,2,,,,
19900328_RUS_NED,1990-03-28,RUS,NED,2.0,1.0,Friendly,Kyiv,Soviet Union,False,,24.698570541037498,1.72,0.62,5,1,11,4,56.8,43.2,1,0,0,0,6,3,,,,
19900328_SCO_ARG,1990-03-28,SCO,ARG,1.0,0.0,Friendly,Glasgow,Scotland,False,,10.0,0.6,0.05,1,0,2,1,49.9,50.1,1,0,0,0,2,3,,,,
19900331_GGY_Alderney,1990-03-31,GGY,Alderney,4.0,0.0,Muratti Vase,Guernsey,Guernsey,False,,0.0,1.89,0.69,6,2,13,4,50.9,49.1,2,0,0,0,3,8,,,,
19900331_SUI_ITA,1990-03-31,SUI,ITA,0.0,1.0,Friendly,Basel,Switzerland,False,,0.0,1.96,0.96,6,3,11,5,46.1,53.9,0,0,0,0,7,3,,,,
19900401_ZAM_TAN,1990-04-01,ZAM,TAN,2.0,0.0,Friendly,Ndola,Zambia,False,,20.41894400477372,0.74,1.83,2,6,5,11,52.4,47.6,1,1,0,0,4,7,,,,
19900403_BER_ISL,1990-04-03,BER,ISL,0.0,4.0,Friendly,Hamilton,Bermuda,False,,-20.460191745951306,0.05,1.96,0,7,0,15,50.1,49.9,2,0,0,0,1,8,,,,
19900403_SUI_ROU,1990-04-03,SUI,ROU,2.0,1.0,Friendly,Lucerne,Switzerland,False,,-19.25482038723635,1.07,1.76,2,3,6,7,43.3,56.7,0,4,0,0,4,3,,,,
19900404_Czechoslovakia_EGY,1990-04-04,Czechoslovakia,EGY,0.0,1.0,Friendly,Brno,Czechoslovakia,False,,43.422945784736385,0.42,0.35,2,1,4,1,54.6,45.4,1,1,0,0,7,2,,,,
19900408_USA_ISL,1990-04-08,USA,ISL,4.0,1.0,Friendly,St. Louis,United States,False,,-43.11488547981298,2.2,1.04,8,4,18,8,48.3,51.7,0,0,0,1,6,9,,,,
19900411_ALG_SWE,1990-04-11,ALG,SWE,1.0,1.0,Friendly,Algiers,Algeria,False,,90.11480003818201,0.7,1.2,1,3,3,6,48.6,51.4,0,1,0,0,2,2,,,,
19900411_AUT_HUN,1990-04-11,AUT,HUN,3.0,0.0,Friendly,Salzburg,Austria,False,,9.841209612204011,1.37,1.19,3,3,6,9,45.8,54.2,0,3,0,0,6,5,,,,
19900411_DEN_TUR,1990-04-11,DEN,TUR,1.0,0.0,Friendly,Copenhagen,Denmark,False,,-0.0004763499737236998,1.64,0.99,4,4,10,11,55.6,44.4,2,2,0,1,4,7,,,,
19900411_German-DR_EGY,1990-04-11,German DR,EGY,2.0,0.0,Friendly,Karl-Marx-Stadt,German DR,False,,52.04492867187878,1.79,1.52,5,5,11,9,57.6,42.4,0,2,0,0,3,6,,,,
19900414_BER_ATG,1990-04-14,BER,ATG,2.0,2.0,CFU Caribbean Cup qualification,Hamilton,Bermuda,False,,-9.871979892302988,2.04,1.45,7,4,16,8,46.4,53.6,1,1,0,0,5,4,,,,
19900415_BRB_LCA,1990-04-15,BRB,LCA,1.0,0.0,CFU Caribbean Cup qualification,Bridgetown,Barbados,False,,-0.5750112778453058,1.05,0.92,3,3,7,7,55.5,44.5,1,2,0,0,7,4,,,,
19900416_BER_ATG,1990-04-16,BER,ATG,3.0,0.0,Friendly,Hamilton,Bermuda,False,,-8.962981555123406,0.58,1.75,3,5,6,11,47.3,52.7,1,3,1,0,2,14,,,,
19900417_GRN_CUW,1990-04-17,GRN,CUW,1.0,1.0,CFU Caribbean Cup qualification,St. George's,Grenada,False,,0.0,0.74,1.04,4,4,10,9,49.1,50.9,0,2,0,0,3,3,,,,
19900417_MEX_COL,1990-04-17,MEX,COL,2.0,0.0,Friendly,Los Angeles,United States,True,,35.896059163040036,1.46,0.75,4,2,10,5,57.2,42.8,2,3,0,0,8,4,,,,
19900422_MTQ_GYF,1990-04-22,MTQ,GYF,4.0,0.0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False,,0.0,2.1,1.29,6,3,14,7,49.5,50.5,5,1,0,0,6,3,,,,
19900422_USA_COL,1990-04-22,USA,COL,0.0,1.0,Friendly,Miami,United States,False,,11.765699964424812,0.33,1.36,2,4,2,8,45.1,54.9,1,0,0,0,5,6,,,,
19900422_VIN_DMA,1990-04-22,VIN,DMA,2.0,1.0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False,,0.0,1.77,1.15,7,3,12,7,56.2,43.8,3,2,0,0,6,1,,,,
19900425_ENG_Czechoslovakia,1990-04-25,ENG,Czechoslovakia,4.0,2.0,Friendly,London,England,False,,31.24334575710168,1.23,0.45,4,2,9,4,46.1,53.9,2,3,0,0,3,1,,,,
19900425_GER_URU,1990-04-25,GER,URU,3.0,3.0,Friendly,Stuttgart,Germany,False,,-30.80087770256796,1.27,1.73,3,4,6,8,56.0,44.0,3,1,1,0,4,4,,,,
19900425_IRL_RUS,1990-04-25,IRL,RUS,1.0,0.0,Friendly,Dublin,Republic of Ireland,False,,-23.98888360941055,1.66,0.53,5,2,12,6,49.6,50.4,1,0,0,0,5,7,,,,
19900425_ISR_ROU,1990-04-25,ISR,ROU,1.0,4.0,Friendly,Haifa,Israel,False,,-8.413445108148835,1.97,1.1,6,5,13,14,51.6,48.4,2,1,0,0,7,6,,,,
19900425_SCO_German-DR,1990-04-25,SCO,German DR,0.0,1.0,Friendly,Glasgow,Scotland,False,,-8.666203667745322,0.93,2.16,3,8,4,19,47.6,52.4,2,3,0,0,9,12,,,,
19900425_SWE_WAL,1990-04-25,SWE,WAL,4.0,2.0,Friendly,Solna,Sweden,False,,12.837208591358376,1.66,1.04,5,3,12,9,52.3,47.7,1,0,0,0,7,3,,,,
19900429_BRB_ATG,1990-04-29,BRB,ATG,1.0,0.0,CFU Caribbean Cup qualification,Bridgetown,Barbados,False,,36.16388624757019,1.74,1.21,5,2,10,3,53.2,46.8,2,4,0,0,6,2,,,,
19900429_GAB_MTQ,1990-04-29,GAB,MTQ,0.0,2.0,Friendly,Paris,France,True,,-16.0,0.64,1.46,2,4,4,9,45.4,54.6,2,1,0,1,4,8,,,,
